SKU_Input,PartNum,ProductName,DBP_ex_GST,DBP_inc_GST,RRP_ex_GST,RRP_inc_GST,Available_SYD,Available_MEL,Available_BRS,Available_ADL,Available_WA,Status
NWG-WGM58000061,NWG-WGM58000061,WatchGuard Standard Support for Firebox M5800 - 1-Year,34894,38383.4,55095.12,60604.632,0,0,0,0,0,OK
NWG-WGM58000063,NWG-WGM58000063,WatchGuard Standard Support for Firebox M5800 - 3-Year,47310,52041,81090,89199,0,0,0,0,0,OK
NWG-WGM58000071,NWG-WGM58000071,WatchGuard Basic Security Suite for Firebox M5800 - 1-Year,44961,49457.1,77862.73,85649,0,0,0,0,0,OK
NWG-WGM58000073,NWG-WGM58000073,WatchGuard Basic Security Suite for Firebox M5800 - 3-Year,94503,103953.3,124708.18,137179,0,0,0,0,0,OK
NWG-WGM58000081,NWG-WGM58000081,WatchGuard Total Security Suite for Firebox M5800 - 1-Year,82872,91159.2,109353.64,120289,0,0,0,0,0,OK
NWG-WGM58000083,NWG-WGM58000083,WatchGuard Total Security Suite for Firebox M5800 - 3-Year,151127,166239.7,199480.91,219429,0,0,0,0,0,OK
NWG-WGM580001601,NWG-WGM580001601,WatchGuard High Availability for M5800 - 1-Year,122,134.2,31562.73,34719,0,0,0,0,0,OK
NWG-WGM58000201,,,,,,,,,,,,NOT FOUND
NWG-WGM58000203,,,,,,,,,,,,NOT FOUND
NWG-WGM58000211,,,,,,,,,,,,NOT FOUND
NWG-WGM58000213,,,,,,,,,,,,NOT FOUND
NWG-WGM5901603,NWG-WGM5901603,WatchGuard High Availability for M590 - 3-Year,292,321.2,8499.09,9349,0,0,0,0,0,OK
NWG-WGM590000,NWG-WGM590000,WatchGuard Firebox M590 Appliance Only – License Not Included (Requires Separate WG License Purchase),5289,5817.9,5712.12,6283.332,2,0,0,0,0,OK
NWG-WGM5900061,NWG-WGM5900061,WatchGuard Standard Support for Firebox M590 - 1-Year,2804,3084.4,10000,11000,0,0,0,0,0,OK
NWG-WGM5900063,NWG-WGM5900063,WatchGuard Standard Support for Firebox M590 - 3-Year,4969,5465.9,15000,16500,0,0,0,0,0,OK
NWG-WGM5900071,NWG-WGM5900071,WatchGuard Basic Security Suite for Firebox M590 - 1-Year,4563,5019.3,13444.55,14789,0,0,0,0,0,OK
NWG-WGM5900073,NWG-WGM5900073,WatchGuard Basic Security Suite for Firebox M590 - 3-Year,10498,11547.8,18735.45,20609,0,0,0,0,0,OK
NWG-WGM5900081,NWG-WGM5900081,WatchGuard Total Security Suite for Firebox M590 - 1-Year,8548,9402.8,18844.55,20729,0,0,0,0,0,OK
NWG-WGM5900083,NWG-WGM5900083,WatchGuard Total Security Suite for Firebox M590 - 3-Year,19968,21964.8,34317.27,37749,0,0,0,0,0,OK
NWG-WGM5900203,,,,,,,,,,,,NOT FOUND
